"Notes"	"Event Category"	"Event Category Code"	"Year Reported"	"Year Reported Code"	"Vaccine"	"Vaccine Code"	Events Reported	Percent
	"Death"	"DTH"	"1990"	"1990"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	2	0.16%
	"Death"	"DTH"	"1990"	"1990"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	1	0.08%
	"Death"	"DTH"	"1990"	"1990"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	4	0.32%
"Total"	"Death"	"DTH"	"1990"	"1990"			7	0.57%
	"Death"	"DTH"	"1991"	"1991"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	16	1.30%
	"Death"	"DTH"	"1991"	"1991"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"1991"	"1991"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	5	0.41%
	"Death"	"DTH"	"1991"	"1991"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	4	0.32%
"Total"	"Death"	"DTH"	"1991"	"1991"			26	2.11%
	"Death"	"DTH"	"1992"	"1992"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	18	1.46%
	"Death"	"DTH"	"1992"	"1992"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	3	0.24%
	"Death"	"DTH"	"1992"	"1992"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	11	0.89%
	"Death"	"DTH"	"1992"	"1992"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	3	0.24%
"Total"	"Death"	"DTH"	"1992"	"1992"			35	2.84%
	"Death"	"DTH"	"1993"	"1993"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	14	1.14%
	"Death"	"DTH"	"1993"	"1993"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"1993"	"1993"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	5	0.41%
	"Death"	"DTH"	"1993"	"1993"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	7	0.57%
"Total"	"Death"	"DTH"	"1993"	"1993"			27	2.19%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	3	0.24%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	7	0.57%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	6	0.49%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	1	0.08%
	"Death"	"DTH"	"1994"	"1994"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	8	0.65%
"Total"	"Death"	"DTH"	"1994"	"1994"			26	2.11%
	"Death"	"DTH"	"1995"	"1995"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	1	0.08%
	"Death"	"DTH"	"1995"	"1995"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	5	0.41%
	"Death"	"DTH"	"1995"	"1995"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	2	0.16%
