Notes	Event Category	Event Category Code	Year Reported	Vaccine	Vaccine Code	Deaths Reported	Doses (Million)		
	Death	DTH	1990	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	2			
	Death	DTH	1990	INFLUENZA (SEASONAL) (FLUOGEN)	34	1			
	Death	DTH	1990	INFLUENZA (SEASONAL) (FLUZONE)	7	3			
Total	Death	DTH	1990			6	28.3	0.212014134	6
	Death	DTH	1991	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	12			
	Death	DTH	1991	INFLUENZA (SEASONAL) (FLU-IMUNE)	201	1			
	Death	DTH	1991	INFLUENZA (SEASONAL) (FLUOGEN)	34	5			
	Death	DTH	1991	INFLUENZA (SEASONAL) (FLUZONE)	7	4			
Total	Death	DTH	1991			22	28.5	0.771929825	22
	Death	DTH	1992	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	15			
	Death	DTH	1992	INFLUENZA (SEASONAL) (FLU-IMUNE)	201	3			
	Death	DTH	1992	INFLUENZA (SEASONAL) (FLUOGEN)	34	6			
	Death	DTH	1992	INFLUENZA (SEASONAL) (FLUZONE)	7	3			
Total	Death	DTH	1992			27	38.3	0.704960836	27
	Death	DTH	1993	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	14			
	Death	DTH	1993	INFLUENZA (SEASONAL) (FLU-IMUNE)	201	1			
	Death	DTH	1993	INFLUENZA (SEASONAL) (FLUOGEN)	34	3			
	Death	DTH	1993	INFLUENZA (SEASONAL) (FLUZONE)	7	7			
Total	Death	DTH	1993			25	47.1	0.530785563	25
	Death	DTH	1994	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	1			
	Death	DTH	1994	INFLUENZA (SEASONAL) (FLUOGEN)	34	7			
	Death	DTH	1994	INFLUENZA (SEASONAL) (FLUSHIELD)	261	5			
	Death	DTH	1994	INFLUENZA (SEASONAL) (FLUVIRIN)	262	1			
	Death	DTH	1994	INFLUENZA (SEASONAL) (FLUZONE)	7	7			
Total	Death	DTH	1994			21	52.1	0.403071017	21
	Death	DTH	1995	INFLUENZA (SEASONAL) (FLUSHIELD)	261	3			
	Death	DTH	1995	INFLUENZA (SEASONAL) (FLUVIRIN)	262	2			
	Death	DTH	1995	INFLUENZA (SEASONAL) (FLUZONE)	7	6			
Total	Death	DTH	1995			11	54.9	0.200364299	11
	Death	DTH	1996	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	2			
	Death	DTH	1996	INFLUENZA (SEASONAL) (FLUOGEN)	34	3			
	Death	DTH	1996	INFLUENZA (SEASONAL) (FLUSHIELD)	261	8			
	Death	DTH	1996	INFLUENZA (SEASONAL) (FLUZONE)	7	3			
Total	Death	DTH	1996			16	58.2	0.274914089	16
	Death	DTH	1997	INFLUENZA (SEASONAL) (FLUOGEN)	34	1			
	Death	DTH	1997	INFLUENZA (SEASONAL) (FLUSHIELD)	261	5			
	Death	DTH	1997	INFLUENZA (SEASONAL) (FLUVIRIN)	262	5			
	Death	DTH	1997	INFLUENZA (SEASONAL) (FLUZONE)	7	7			
Total	Death	DTH	1997			18	75.3	0.239043825	18
	Death	DTH	1998	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	2			
	Death	DTH	1998	INFLUENZA (SEASONAL) (FLUOGEN)	34	3			
	Death	DTH	1998	INFLUENZA (SEASONAL) (FLUSHIELD)	261	3			
	Death	DTH	1998	INFLUENZA (SEASONAL) (FLUVIRIN)	262	3			
	Death	DTH	1998	INFLUENZA (SEASONAL) (FLUZONE)	7	6			
Total	Death	DTH	1998			17	62.6	0.271565495	17
	Death	DTH	1999	INFLUENZA (SEASONAL) (FLUSHIELD)	261	2			
	Death	DTH	1999	INFLUENZA (SEASONAL) (FLUZONE)	7	9			
Total	Death	DTH	1999			11	76.8	0.143229167	11
	Death	DTH	2000	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	1			
	Death	DTH	2000	INFLUENZA (SEASONAL) (FLUSHIELD)	261	5			
	Death	DTH	2000	INFLUENZA (SEASONAL) (FLUVIRIN)	262	4			
	Death	DTH	2000	INFLUENZA (SEASONAL) (FLUZONE)	7	10			
Total	Death	DTH	2000			20	70.4	0.284090909	20
	Death	DTH	2001	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	3			
	Death	DTH	2001	INFLUENZA (SEASONAL) (FLU-IMUNE)	201	1			
	Death	DTH	2001	INFLUENZA (SEASONAL) (FLUSHIELD)	261	3			
	Death	DTH	2001	INFLUENZA (SEASONAL) (FLUVIRIN)	262	9			
	Death	DTH	2001	INFLUENZA (SEASONAL) (FLUZONE)	7	8			
Total	Death	DTH	2001			24	77.7	0.308880309	24
	Death	DTH	2002	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	3			
	Death	DTH	2002	INFLUENZA (SEASONAL) (FLUSHIELD)	261	1			
	Death	DTH	2002	INFLUENZA (SEASONAL) (FLUVIRIN)	262	3			
	Death	DTH	2002	INFLUENZA (SEASONAL) (FLUZONE)	7	4			
Total	Death	DTH	2002			11	83	0.13253012	11
	Death	DTH	2003	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	1			
	Death	DTH	2003	INFLUENZA (SEASONAL) (FLUSHIELD)	261	1			
	Death	DTH	2003	INFLUENZA (SEASONAL) (FLUVIRIN)	262	6			
	Death	DTH	2003	INFLUENZA (SEASONAL) (FLUZONE)	7	10			
Total	Death	DTH	2003			18	83.1	0.216606498	18
	Death	DTH	2004	INFLUENZA (SEASONAL) (NO BRAND NAME)	44	2			
